delta_v_km_s,chemical_isp_s,ntp_isp_s,chemical_exhaust_speed_m_s,ntp_exhaust_speed_m_s,chemical_propellant_per_dry_mass,ntp_propellant_per_dry_mass,ntp_to_chemical_propellant_ratio_equal_dry_mass,propellant_reduction_pct_equal_dry_mass,wet_mass_ratio_equal_dry_mass,wet_mass_reduction_pct_equal_dry_mass,ideal_kinetic_energy_ratio_equal_dry_mass,ideal_kinetic_energy_change_pct_equal_dry_mass,ntp_to_chemical_propellant_ratio_ntp_dry_mass_plus_25pct,ntp_to_chemical_wet_mass_ratio_ntp_dry_mass_plus_25pct,ideal_kinetic_energy_ratio_ntp_dry_mass_plus_25pct
13.5,452.0,900.0,4432.605799999999,8825.984999999999,20.022905533914866,3.616211372684578,0.1806037273940801,81.93962726059199,0.21958008445776198,78.0419915542238,0.7160360012001962,-28.396399879980383,0.22575465924260013,0.27447510557220245,0.8950450015002452
14.0,452.0,900.0,4432.605799999999,8825.984999999999,22.53322021394552,3.8852732486179686,0.17242423460688602,82.7575765393114,0.20759051265423553,79.24094873457645,0.6836069290448434,-31.639307095515655,0.21553029325860754,0.2594881408177944,0.8545086613060543
14.5,452.0,900.0,4432.605799999999,8825.984999999999,25.343287931567065,4.170017745479242,0.16454130800783573,83.54586919921643,0.19625559872820691,80.37444012717931,0.6523536469493839,-34.76463530506161,0.20567663500979466,0.24531949841025863,0.8154420586867299
15.0,452.0,900.0,4432.605799999999,8825.984999999999,28.488901762547933,4.471358945199606,0.1569509060920608,84.30490939079391,0.18553959687126928,81.44604031287307,0.6222601316399544,-37.77398683600456,0.19618863261507602,0.2319244960890866,0.777825164549943
15.5,452.0,900.0,4432.605799999999,8825.984999999999,32.01012878195702,4.790264208162947,0.14964838913309994,85.03516108669001,0.17540871307741893,82.4591286922581,0.5933079880854557,-40.66920119145443,0.18706048641637493,0.21926089134677365,0.7416349851068196
16.0,452.0,900.0,4432.605799999999,8825.984999999999,35.951820416225516,5.127757278609646,0.1426285851243133,85.73714148756866,0.1658309985702072,83.41690014297927,0.5654767109341657,-43.452328906583425,0.17828573140539164,0.207288748212759,0.7068458886677071
16.5,452.0,900.0,4432.605799999999,8825.984999999999,40.36418373560887,5.484921571042892,0.13588585382947185,86.41141461705281,0.15677624904901163,84.32237509509883,0.5387439384538345,-46.12560615461655,0.1698573172868398,0.19597031131126455,0.6734299230672931
17.0,452.0,900.0,4432.605799999999,8825.984999999999,45.30342096385356,5.862903648187464,0.1294141485002937,87.05858514997063,0.14821590943669025,85.17840905633098,0.5130856972219727,-48.69143027780273,0.16176768562536714,0.18526988679586281,0.6413571215274659
17.5,452.0,900.0,4432.605799999999,8825.984999999999,50.8324453507864,6.262916901665838,0.12320707489963292,87.67929251003672,0.1401229838282296,85.98770161717704,0.4884766361339117,-51.15233638660883,0.15400884362454115,0.175153729785287,0.6105957951673896
18.0,452.0,900.0,4432.605799999999,8825.984999999999,57.02168252621196,6.686245447207304,0.11725794734544606,88.2742052654554,0.1324719503564026,86.75280496435974,0.4648902485992018,-53.51097514007982,0.14657243418180757,0.16558993794550325,0.5811128107490022
18.5,452.0,900.0,4432.605799999999,8825.984999999999,63.94996754231762,7.134248246894392,0.11155984156166217,88.84401584383377,0.12523868070595398,87.4761319294046,0.4422990820784045,-55.77009179215955,0.1394498019520777,0.15654835088244248,0.5528738525980057
19.0,452.0,900.0,4432.605799999999,8825.984999999999,71.70554903061216,7.608363471679796,0.10610564418705828,89.38943558129418,0.11840036402249442,88.15996359775056,0.4206749343699449,-57.932506563005504,0.13263205523382285,0.148000455028118,0.5258436679624311
19.5,452.0,900.0,4432.605799999999,8825.984999999999,80.3872132637885,8.110113118178255,0.10088809885180539,89.91119011481946,0.11193543497614268,88.80645650238573,0.3999890362888752,-60.00109637111248,0.12611012356475673,0.13991929372017836,0.499986295361094
20.0,452.0,900.0,4432.605799999999,8825.984999999999,90.10554244018502,8.64110789455413,0.09589984878333514,90.41001512166649,0.10582350575305516,89.41764942469447,0.38021222058550724,-61.97877794144928,0.11987481097916892,0.13227938219131896,0.47526527573188404
